"","Name","Frequency"
"969","MADILYNN",10
"970","MAËLLE",10
"971","MAEVA",10
"972","MALAIKA",10
"973","MALAYA",10
"974","MALINA",10
"975","MANHA",10
"976","MAREN",10
"977","MARIANNE",10
"978","MARTINA",10
"979","MERCY",10
"980","NAHLA",10
"981","NELLIE",10
"982","NIKI",10
"983","NYA",10
"984","REYNA",10
"985","ROSALYN",10
"986","RUHI",10
"987","SADAF",10
"988","SAKURA",10
"989","SELIN",10
"990","SOFIE",10
"991","VALERIA",10
"992","VEDA",10
"993","WINNIE",10
"994","YASMEEN",10
"995","ZAYNA",10
"996","ABBYGAIL",9
"997","ADELA",9
"998","ADÈLE",9
"999","ADLEY",9
"1000","AILEEN",9
"1001","AIYANNA",9
"1002","AKIRA",9
"1003","AKSHAYA",9
"1004","ALLEGRA",9
"1005","ALYA",9
"1006","ALYSSIA",9
"1007","AMARI",9
"1008","AMAYAH",9
"1009","AMEERA",9
"1010","AMÉLIA",9
"1011","AMREEN",9
"1012","ANANYA",9
"1013","ANISHA",9
"1014","ARDEN",9
"1015","ARISSA",9
"1016","ASHA",9
"1017","AVALON",9
"1018","AVNOOR",9
"1019","AZARIAH",9
"1020","BLAYKE",9
"1021","BRIE",9
"1022","CASSIA",9
"1023","CIERRA",9
"1024","CINDY",9
"1025","DARIA",9
"1026","ELIN",9
"1027","EMAN",9
"1028","ESMERALDA",9
"1029","ETTA",9
"1030","EUNICE",9
"1031","FINLEIGH",9
"1032","GIULIA",9
"1033","GWYNETH",9
"1034","HADIYA",9
"1035","HANIA",9
"1036","HARLEE",9
"1037","HAYLEE",9
"1038","HAYLIE",9
"1039","HUDA",9
"1040","ISADORA",9
"1041","JAIME",9
"1042","JIA",9
"1043","JOLIE",9
"1044","JOVIE",9
"1045","KARLEE",9
"1046","KATIA",9
"1047","KAVYA",9
"1048","KENLEY",9
"1049","KENSINGTON",9
"1050","LAIBA",9
"1051","LAURENCE",9
"1052","LEILANI",9
"1053","LENI",9
"1054","LINDA",9
"1055","LINDSAY",9
"1056","MAHIRA",9
"1057","MARION",9
"1058","MELIA",9
"1059","MERCEDES",9
"1060","MICAELA",9
"1061","MISHA",9
"1062","MORIAH",9
"1063","MYRAH",9
"1064","NALA",9
"1065","NATHALIE",9
"1066","NIKA",9
"1067","NIKKI",9
"1068","NOEMI",9
"1069","NOÉMIE",9
"1070","NOUR",9
"1071","OAKLYN",9
"1072","OVIYA",9
"1073","PATRICIA",9
"1074","PRECIOUS",9
"1075","RAMONA",9
"1076","REHMAT",9
"1077","REMINGTON",9
"1078","RIPLEY",9
"1079","ROSELYN",9
"1080","ROSLYN",9
"1081","ROWYN",9
"1082","SAANVI",9
"1083","SAFIYYAH",9
"1084","SAVREEN",9
"1085","SERENE",9
"1086","SHAY",9
"1087","SHAYNA",9
"1088","SHREYA",9
"1089","SIRAT",9
"1090","SYLVIE",9
"1091","TANISHA",9
"1092","TORI",9
"1093","VADA",9
"1094","VAYDA",9
"1095","VERONIKA",9
"1096","VIKTORIA",9
"1097","WYNTER",9
"1098","ZELDA",9
"1099","ZIA",9
"1100","AADHYA",8
"1101","AAHANA",8
"1102","ALAYAH",8
"1103","ALEEN",8
"1104","ALYVIA",8
"1105","AMALIA",8
"1106","AMEERAH",8
"1107","ANABELLA",8
"1108","ANAIYA",8
"1109","ANN",8
